claims/text,claims/claimant,claims/claimDate,claims/claimReview/0/publisher/name,claims/claimReview/0/publisher/site,claims/claimReview/0/url,claims/claimReview/0/reviewDate,claims/claimReview/0/textualRating,claims/claimReview/0/languageCode,claims/claimReview/0/title
Un vaccin contre le coronavirus est prêt,Saadino Sarni,2020-04-02T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-aucun-vaccin-contre-le-nouveau-coronavirus-na-ete-trouve-en-date-du-2-avril-2020,2020-04-02T20:29:00Z,Faux,fr,
Des nouveaux vaccins contre le coronavirus vont être testés en Afrique,Multiple sources,2020-03-29T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/le-coronavirus-les-tests-de-vaccins-et-lafrique-ou-en-est,2020-04-03T20:17:00Z,il n'existe pas encore de vaccin,fr,
Il existerait un vaccin contre le coronavirus.,,,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1687771/vaccin-coronavirus-roche-trump-faux,2020-03-25T00:00:00Z,Faux.,en,"Non, ceci n'est pas un vaccin contre le coronavirus | Coronavirus"
"« Retenez votre souffle pendant plus de dix secondes. Si vous réussissez à le faire sans tousser, sans inconfort, sans sensation d'oppression, cela montre qu'il n'y a pas de fibrose dans les poumons, ce qui indique essentiellement aucune infection. »",Posts sur les réseaux sociaux,2020-03-30T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/sante/2750879-20200330-retenir-souffle-detecter-coronavirus-boire-eau-empecher-contamination-conseils-doivent-etre-suivis,2020-03-30T00:00:00Z,C’est faux,fr,
Le coronavirus ne survit pas dans les climats chauds,,,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1675144/covid-19-chaleur-decrypteurs-trump-faux,2020-03-19T00:00:00Z,Faux,en,"Non, la chaleur ne tue pas le coronavirus | Coronavirus"
Retenir son souffle pendant 10 minutes permet de savoir si on est infecté par le coronavirus.,,2020-02-26T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1676597/test-coronavirus-retenir-souffle-respiration-faux,2020-03-19T00:00:00Z,Faux,en,"Non, retenir son souffle ne permet pas de détecter le coronavirus ..."
"Plusieurs messages postés sur Twitter cette semaine affirment que l'Islande a dépisté, ou est en mesure de dépister, toute sa population au Covid-19. C'est faux. En réalité, à ce jour 3,5% de la population a été testée selon le gouvernement. L'Islande procède à un dépistage massif en proposant en moyenne 582 tests chaque jour depuis la mi-mars. Mais même à ce rythme, il faudrait plus d' un an et demi pour tester l'ensemble des habitants.",multiple sources,2020-03-24T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-non-lislande-na-pas-depiste-lintegralite-de-sa-population,2020-03-26T15:10:00Z,Faux,fr,
Quatre hommes contaminés au coronavirus se sont échappés d'un hôpital au Cameroun,sources multiples,2020-03-19T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-ces-quatre-hommes-ne-sont-pas-porteurs-du-coronavirus-et-en-fuite-au-cameroun,2020-03-25T14:07:00Z,Ces quatre Camerounais sont en bonne santé et vivent en Europe depuis plusieurs années,fr,
"Le nouveau coronavirus existe depuis longtemps car il existe des vaccins bovins portant la mention ""coronavirus""",Multiple sources,2020-03-12T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-ce-vaccin-animal-ne-prouve-pas-que-le-nouveau-coronavirus-existe-depuis-des-annees,2020-03-20T11:59:00Z,Trompeur,fr,
"Pendant le confinement, il est interdit de circuler à plusieurs dans une voiture",Une internaute sur Facebook,2020-03-20T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/23/coronavirus-non-il-n-est-pas-interdit-de-prendre-la-voiture-a-plusieurs-pendant-le-confinement_6034098_4355770.html,2020-03-23T10:37:55Z,C’est plus compliqué,fr,
Le brevet EP 1694829-B1 prouve que le coronavirus a été créé en laboratoire.,,2020-03-17T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1672833/brevet-coronavirus-institut-pasteur-arme-biologique-ep1694829b1,2020-03-18T00:00:00Z,FAUX.,en,"Non, ce brevet ne prouve pas que le coronavirus a été créé en ..."
"Des inhalations de vapeur d'eau permettent de ""tuer"" le coronavirus",multiples sources,2020-03-25T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-faire-des-inhalations-de-vapeur-deau-ne-tue-pas-le-coronavirus,2020-03-26T21:36:00Z,Non,fr,
Des français malades sont traités au 43e Bima à l'insu des ivoiriens,Multiples sources,2020-03-16T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-35-francais-atteints-du-coronavirus-ne-sont-pas-soignes-sur-une-base-militaire-en-cote-divoire,2020-03-18T19:46:00Z,Faux,fr,
Les mosquées et synagogues sont les seuls lieux de culte à pouvoir rester ouverts malgré le confinement,Sources multiples,2020-03-21T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-non-les-mosquees-et-synagogues-ne-sont-pas-les-seuls-lieux-de-culte-pouvoir-rester,2020-03-27T13:45:00Z,Faux,fr,
Un homme atteint du coronavirus touche des pains dans un supermarché avant de les reposer,Page Facebook Regards,2020-03-15T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-non-cette-video-ne-montre-pas-un-malade-manipuler-des-pains-dans-un-supermarche-avant-de,2020-03-24T17:35:00Z,Faux,fr,
Le coronavirus est une arme biologique,,2020-03-11T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1668283/coronavirus-arme-biologique-faux-alan-cantwell-james-lyons-weiler-kla-tv,2020-03-16T00:00:00Z,FAUX,en,"Non, cette vidéo ne prouve pas que le coronavirus est une arme ..."
Les refuges de la SPA sont submergés par les abandons à cause du coronavirus,Défendre les animaux et protéger la nature,2020-03-17T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-la-spa-nest-pas-submergee-par-les-abandons-cause-du-coronavirus,2020-03-18T11:05:00Z,Faux,fr,
Le professeur Jean-Jacques Muyembe a affirmé que la peau des personnes noires résiste au coronavirus,Multiples Sources,2020-03-10T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-le-decouvreur-debola-na-jamais-dit-que-la-peau-noire-resistait-au-coronavirus,2020-03-18T19:07:00Z,le professeur Muyembe n'a jamais dit que la peau des Noirs résistait au coronavirus,fr,
Les supermarchés imposent à leurs clients des chariots pré-remplis de produits de première nécessité,Sources multiples,2020-03-17T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-non-les-supermarches-russes-nimposent-pas-leurs-clients-des-chariots-de-produits-de,2020-03-18T16:40:00Z,Faux,fr,
Un visuel montrant de nouvelles règles d'indemnisations liées au coronavirus,Johny Renaut,2020-03-26T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/ce-visuel-portant-sur-de-nouvelles-indemnites-de-salaire-cause-du-nouveau-coronavirus-est-errone,2020-03-26T13:20:00Z,Erroné,fr,
Agnès Buzyn a-t-elle interdit la vente libre de chloroquine en janvier 2020 ?,Plusieurs internautes,2020-03-23T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/25/agnes-buzyn-a-t-elle-interdit-la-vente-libre-de-chloroquine-en-pleine-epidemie-de-covid-19_6034372_4355770.html,2020-03-25T10:46:16Z,FAUX,fr,
"Faire des gargarismes avec de l'eau tiède, du sel ou du vinaigre pour éliminer le coronavirus",Multiple Sources,2020-03-16T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-des-gargarismes-deau-tiede-melangee-du-sel-ou-du-vinaigre-ne-soigne-pas-le-coronavirus,2020-03-19T18:23:00Z,Faux,fr,
"Une photo montre que, même avec le coronavirus, personne ne veut manger vegan",Sources multiples,2020-03-13T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-cette-photo-ne-montre-pas-que-meme-avec-le-coronavirus-personne-ne-veut-manger-vegan,2020-03-20T15:25:00Z,Faux,fr,
Ces photos montrent-elles un déploiement de l’armée pour lutter contre le coronavirus ?,Plusieurs internautes sur Facebook,2020-03-16T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/17/attention-aux-nombreuses-photos-de-vehicules-et-convois-militaires-sorties-de-leur-contexte_6033431_4355770.html,2020-03-17T16:58:51Z,PRUDENCE,fr,
"Le Covid-19 a été inventé en 2004, comme le montre un brevet déposé par l'Institut Pasteur",https://www.facebook.com/john.labite.9/videos/2709312776005785/,2020-03-18T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/high-tech/2742775-20200318-coronavirus-non-covid-19-brevete-institut-pasteur-2004,2020-03-18T00:00:00Z,C’est faux,fr,
Ce message d’une infectiologue du CHU de Toulouse sur 4 cas graves de coronavirus est-il vrai ?,Plusieurs internautes sur Facebook,2020-03-14T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/16/le-chu-de-toulouse-dement-une-information-concernant-quatre-cas-graves-de-coronavirus_6033248_4355770.html,2020-03-16T10:35:05Z,FAUX,fr,
Ronaldo a-t-il reconverti ses hôtels pour accueillir des malades liés au coronavirus ?,Marca,2020-03-14T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/16/coronavirus-la-fausse-rumeur-des-hotels-de-cristiano-ronaldo-transformes-en-hopitaux_6033307_4355770.html,2020-03-16T18:21:41Z,FAUX,fr,
Un masque de protection aussi efficace que ceux vendus en pharmacie,,2020-03-08T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/les-masques-faits-maison-peu-efficaces-pour-proteger-du-coronavirus-dapres-le-ministere-francais-de,2020-03-18T19:45:00Z,Attention,fr,
La patinoire de Mulhouse a été transformée en morgue,Sources multiples,2020-03-19T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-non-la-patinoire-de-mulhouse-na-pas-ete-transformee-en-morgue,2020-03-20T14:30:00Z,Faux,fr,
Le coronavirus n’est qu’un « gros rhume monté en épingle »,Plusieurs sites internet,2020-02-03T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/10/coronavirus-peut-on-vraiment-dire-que-le-covid-19-n-est-qu-un-gros-rhume-monte-en-epingle_6032483_4355770.html,2020-03-10T11:31:20Z,C’est plus compliqué,fr,
« Le chômage partiel est moins bien indemnisé que le chômage »,Plusieurs pages Facebook,2020-03-23T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/30/non-le-chomage-partiel-n-est-pas-moins-bien-indemnise-que-le-chomage_6034937_4355770.html,2020-03-30T15:52:35Z,FAUX,fr,
La France a annoncé le 16 mars le passage au stade 4 du plan de lutte contre le coronavirus,actuainfo.info,2020-03-15T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-non-la-france-ne-va-pas-passer-lundi-16-mars-au-stade-4,2020-03-16T18:00:00Z,Faux,fr,
Un test respiratoire permet de détecter le nouveau coronavirus,Pierre Deleaz,2020-03-17T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/retenir-son-souffle-ne-permet-pas-de-detecter-si-une-personne-est-atteinte-du-covid-19-selon-loms,2020-03-17T16:43:00Z,Faux,fr,
Le nouveau coronavirus causant le Covid-19 a été inventé par l'Institut PAsteur,Sources multiples,2020-03-18T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-le-coronavirus-detecte-en-chine-na-pas-ete-cree-puis-brevete-par-linstitut-pasteur,2020-03-18T11:21:00Z,Faux,fr,
Les informations suivantes décrivent exactement ce qu'est le coronavirus,multiple sources,,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-la-liste-des-pretendus-conseils-simples-et-accessibles-tous-ne-pas-suivre,2020-03-10T18:25:00Z,Ces conseils à suivre pour lutter contre le coronavirus sont faux,fr,
Le coronavirus est l'équivalent d'une grosse grippe,Multiples,2020-02-28T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-et-grippe-ce-nest-pas-la-meme-chose,2020-03-11T19:25:00Z,Partiellement faux,fr,
"Des médecins sénégalais ont élaboré un ""serum"" contre le coronavirus",sources multiples,2020-02-10T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-des-medecins-senegalais-nont-pas-decouvert-de-traitement-contre-le-coronavirus,2020-03-12T17:07:00Z,Non,fr,
Peut-on affirmer qu’« une seconde souche du coronavirus tueur » se propage ?,Sante Plus Mag,2020-03-09T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/13/pourquoi-il-est-trompeur-de-dire-qu-une-seconde-souche-du-coronavirus-tueur-se-propage_6032932_4355770.html,2020-03-13T11:41:17Z,Trompeur,fr,
Peut-on arrêter le coronavirus avec des boissons chaudes ?,Plusieurs sites internet,2020-01-28T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/10/non-boire-des-boissons-chaudes-ne-neutralise-pas-le-coronavirus_6032531_4355770.html,2020-03-10T19:53:34Z,FAUX,fr,
"Boire des ""gorgées d'eau"" toutes les 15 minutes protège du coronavirus",Sources multiples,2020-03-03T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-boire-de-leau-toutes-les-15-minutes-ne-protege-pas-du-coronavirus,2020-03-09T17:05:00Z,Faux,fr,
Le coronavirus qui sévit en Chine a été inventé en laboratoire et un brevet existe sur ce virus,Jordan Sather,2020-01-21T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1493617/coronavirus-laboratoire-complot-brevet-vaccin-bill-gates,2020-01-27T00:00:00Z,Faux,en,"Non, le coronavirus n'a pas été inventé en laboratoire | Coronavirus"
L'iran vient de trouver un remède contre le coronavirus,Multiples,2020-03-10T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-ce-produit-base-de-plantes-na-pas-ete-approuve-par-liran-comme-remede-contre-le-coronavirus,2020-03-10T17:00:00Z,Trompeur,fr,
Les fripes exportées en Afrique transportent le coronavirus,Multiples sources,2020-03-11T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-les-vetements-doccasion-envoyes-en-afrique-ne-peuvent-pas-transmettre-le-coronavirus,2020-03-13T17:10:00Z,Faux,fr,
Boire de l'eau bouillie à l'ail permet de se guérir du nouveau coronavirus,Sources multiples,2020-03-01T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-boire-de-leau-bouillie-avec-de-lail-ne-permet-pas-de-guerir-du-nouveau-coronavirus-selon-les,2020-03-13T12:20:00Z,Faux,fr,
Cette capture d'écran annonce un cas de coronavirus dans un lycée à Douai,Multiples,2020-03-10T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/cette-capture-decran-annoncant-un-cas-de-coronavirus-dans-un-lycee-douai-est-un-photomontage,2020-03-11T16:00:00Z,Photomontage,fr,
"« Pour le moment, Trump a annoncé que la Roche Medical Company lancerait le vaccin dimanche prochain et des millions de doses sont prêtes. »",Mèmes sur Facebook,2020-03-25T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/monde/2747863-20200325-coronavirus-non-trump-annonce-roche-apprete-lancer-vaccin-contre-covid-19,2020-03-25T00:00:00Z,C’est faux,fr,
Une note confidentielle annonçant des mesures liées à la lutte contre la propagation du coronavirus,Multiples,2020-02-28T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/coronavirus-attention-ce-communique-du-ministere-de-linterieur-est-un-faux,2020-03-04T09:39:00Z,Faux,fr,
Didier Raoult a incité les Africains à ne pas prendre un vaccin contre le coronavirus,Multiple sources,2020-03-31T00:00:00Z,Factuel,factuel.afp.com,https://factuel.afp.com/non-didier-raoult-na-pas-incite-les-africains-ne-pas-prendre-un-vaccin-contre-le-coronavirus,2020-03-31T18:48:00Z,Faux,fr,
Une vidéo montre une cohue dans un magasin Aldi en Allemagne à cause du Coronavirus,Un internaute sur Facebook,2020-03-01T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/03/une-video-de-cohue-dans-un-supermarche-en-allemagne-qui-n-a-rien-a-voir-avec-le-coronavirus_6031691_4355770.html,2020-03-03T14:53:18Z,FAUX,fr,
Nostradamus a prédit l’épidémie de coronavirus dans ses Prophéties en 1555,,2020-03-15T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1674251/coronavirus-covid-nostradamus-prediction-faux,2020-03-18T00:00:00Z,Faux,en,"Non, Nostradamus n'a pas prédit la pandémie de COVID-19 ..."
La Fondation Bill & Melinda Gates et d’autres ont prédit jusqu’à 65 millions de décès liés au Coronavirus – Dans une simulation réalisée il y a 3 mois !,https://www.nouvelordremondial.cc/2020/01/28/la-fondation-bill-melinda-gates-et-dautres-ont-predit-jusqua-65-millions-de-deces-lies-au-coronavirus-dans-une-simulation-realisee-il-y-a-3-mois,2020-01-30T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/monde/2707359-20200131-coronavirus-non-fondation-bill-melinda-gates-predit-jusqu-65-millions-deces-lies-souche-chinoise,2020-01-30T00:00:00Z,C’est faux,fr,
"Melinda Gates déclare : "" C'est avec un cœur rempli de tristesse que j'annonce au monde entier que mon mari est entrain de préparer un grand poison à travers le vaccin pour détruire les Africains """,La citation est partagée sur plusieurs comptes et pages Facebook,2020-04-02T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/high-tech/2753455-20200402-coronavirus-non-melinda-gates-annonce-mari-bill-preparait-vaccin-detruire-africains,2020-04-02T00:00:00Z,C’est faux,fr,
Cette vidéo est censée montrer des cadavres dans la rue pendant l'épidémie du nouveau coronavirus à Wuhan,,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/02/19/coronavirus-non-cette-video-ne-montre-pas-des-cadavres-dans-les-rues-de-wuhan_1778790,2020-02-18T17:49:03Z,"Il s'agit de personnes dormant dans la rue, à Shenzhen. .",fr,
Des médias et internautes soupçonnent le Premier ministre slovaque d'avoir le coronavirus.,,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/02/25/non-le-premier-ministre-slovaque-n-a-pas-le-coronavirus_1779540,2020-02-25T11:49:01Z,Le gouvernement slovaque dément formellement.,fr,
Cette photo montre-t-elle des cercueils de personnes mortes du coronavirus ?,Plusieurs internautes sur Facebook,2020-03-18T00:00:00Z,Le Monde,lemonde.fr,https://www.lemonde.fr/les-decodeurs/article/2020/03/20/cette-photo-montrant-des-cercueils-en-italie-n-a-rien-a-voir-avec-l-epidemie-de-covid-19_6033801_4355770.html,2020-03-20T10:37:35Z,FAUX,fr,
"Un homme prétend avoir les preuves que l'Institut Pasteur a ""inventé"" le virus responsable du Covid-19",,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/03/18/non-le-covid-19-n-a-pas-ete-invente-par-l-institut-pasteur_1782209,2020-03-18T15:29:28Z,Tout est faux,fr,
La patinoire a été réquisitionnée pour stocker les morts du coronavirus,,,Libération,liberation.fr,https://www.liberation.fr/checknews/2020/03/19/covid-19-non-la-patinoire-de-mulhouse-n-a-pas-ete-transformee-en-morgue_1782311,2020-03-19T09:53:59Z,Faux,fr,
"En Allemagne, les gens font la queue devant ce supermarché pour faire des stocks à cause du coronavirus",https://www.facebook.com/philippe.wateaux/videos/621247901789382/,2020-03-03T00:00:00Z,20 Minutes,20minutes.fr,https://www.20minutes.fr/high-tech/2731351-20200303-non-video-montre-foule-devant-supermarche-allemagne-cause-coronavirus,2020-03-03T00:00:00Z,C’est faux,fr,
"Il faudrait éviter de sortir de chez soi jusqu'au 3 avril, car on atteint un « stade d'infection maximale »",,2020-03-22T00:00:00Z,Radio-Canada.ca,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/1689796/message-avertissement-incubation-covid19-coronavirus-pire-faux,2020-03-30T00:00:00Z,Partiellement faux,en,Attention à ce message sur la période d'incubation de la COVID-19 ...
